,0,1,2,3,4,5,6,7,8,9,10,11,12
103,1502303897396,0.0,0.156,0.004,-0.0005,1.0,-0.0003,0.0,0.01,0.0,0.0,0.0,True
104,1502303897462,0.0,0.156,0.004,-0.0005,1.0,-0.0003,0.0,0.01,0.0,0.0,0.0,True
106,1502303897564,0.0,0.156,0.004,-0.0005,1.0,-0.0003,0.0,0.01,0.0,0.0,0.0,True
108,1502303897679,0.0,0.156,0.004,-0.0005,1.0,-0.0003,0.0,0.0,0.0,0.0,0.0,True
110,1502303897780,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.0,0.0,0.0,0.0,True
112,1502303897880,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.0,0.00042,0.0,0.0,True
114,1502303897996,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
116,1502303898096,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
118,1502303898212,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.0,0.00042,0.0,0.0,True
119,1502303898262,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
121,1502303898363,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
123,1502303898464,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
125,1502303898564,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
127,1502303898680,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.0,0.00042,0.0,0.0,True
129,1502303898780,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.0,0.00042,0.0,0.0,True
131,1502303898896,0.0,0.156,0.005,-0.0005,1.0,-0.0003,0.0,0.0,0.00042,0.0,0.0,True
133,1502303898996,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
134,1502303899047,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.0,0.00042,0.0,0.0,True
136,1502303899183,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.0,0.00042,0.0,0.0,True
137,1502303899247,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.0,0.00042,0.0,0.0,True
139,1502303899381,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.0,0.00042,0.0,0.0,True
141,1502303899498,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
143,1502303899598,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
145,1502303899698,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
147,1502303899799,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
148,1502303899864,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
150,1502303899997,0.0,0.156,0.006,-0.0005,1.0,-0.0003,0.0,0.0,0.00042,0.0,0.0,True
152,1502303900099,0.0,0.156,0.006999999999999999,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
154,1502303900199,0.0,0.156,0.006999999999999999,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
155,1502303900265,0.0,0.156,0.006999999999999999,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
157,1502303900365,0.0,0.156,0.006999999999999999,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
159,1502303900489,0.0,0.156,0.006999999999999999,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
161,1502303900599,0.0,0.156,0.006999999999999999,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
162,1502303900651,0.0,0.156,0.006999999999999999,-0.0005,1.0,-0.0003,0.0,0.0,0.00042,0.0,0.0,True
164,1502303900765,0.0,0.156,0.006999999999999999,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
166,1502303900867,0.0,0.156,0.006999999999999999,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
168,1502303900983,0.0,0.156,0.006999999999999999,-0.0005,1.0,-0.0003,0.0,0.0,0.00042,0.0,0.0,True
170,1502303901100,0.0,0.156,0.006999999999999999,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
172,1502303901200,0.0,0.156,0.006999999999999999,-0.0005,1.0,-0.0003,0.0,0.0,0.00042,0.0,0.0,True
173,1502303901250,0.0,0.156,0.008,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
175,1502303901368,0.0,0.156,0.008,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
177,1502303901498,0.0,0.156,0.008,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
179,1502303901598,0.0,0.156,0.008,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
181,1502303901699,0.0,0.156,0.008,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
183,1502303901799,0.0,0.156,0.008,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
185,1502303901899,0.0,0.156,0.008,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
187,1502303901999,0.0,0.156,0.008,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
189,1502303902099,0.0,0.156,0.008,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
191,1502303902199,0.0,0.156,0.008,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
192,1502303902265,0.0,0.156,0.008,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
194,1502303902365,0.0,0.156,0.008,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
197,1502303902516,0.0,0.156,0.009000000000000001,-0.0005,1.0,-0.0003,0.0,0.0,0.00042,0.0,0.0,True
198,1502303902566,0.0,0.156,0.009000000000000001,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
200,1502303902666,0.0,0.156,0.009000000000000001,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
202,1502303902766,0.0,0.156,0.009000000000000001,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
204,1502303902866,0.0,0.156,0.009000000000000001,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
206,1502303902966,0.0,0.156,0.009000000000000001,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
208,1502303903066,0.0,0.156,0.009000000000000001,-0.0005,1.0,-0.0003,0.0,0.01,0.00042,0.0,0.0,True
