"Timestamp","Enter password to ensure data is saved.","Your name:","    a. talk on the phone","    b. manually interact with the phone. (e.g. send text messages)","    c. adjust settings of in-vehicle technology (eg: radio channel or song selection)","    d. read roadside advertisements","    e. chat with passengers","2. Do you play car racing video games?","3. Do you find you confuse right and left when giving driving instructions?","4. Do you start doing one thing at home and get distracted into doing something else (unintentionally)?","5. Do you generally use smart phones for navigation while driving?","    a. talk on the phone","    b. manually interact with the phone (eg: send text messages)","    c. adjust settings of in-vehicle technology (eg: radio channel or song selection)","    d. read roadside advertisements","    e. chat with passengers","    a. talk on the phone","    b. manually interact with the phone (eg: send text messages)","    c. adjust settings of in-vehicle technology (eg: radio channel or song selection)","    d. read roadside advertisements","    e. chat with passengers","    a. your phone is ringing","    b. you receive an alert from your phone (eg: incoming text messages)","    c. you listen","    d. there are roadside advertisements","    e. a passenger speaks to you","9. The ticket for a distracted driving offense is up to $150 with no demerit points in Pennsylvania. To limit distracted driving due to an electronic device, the penalty should :"
"2017/03/05 4:17:18 PM AST","142857","001","Sometimes","Rarely","Rarely","Rarely","Often","Sometimes","Rarely","Sometimes","Often","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Disagree","Have demerit points added to the penalty"
"2017/03/05 7:10:25 PM AST","142857","002","Never","Rarely","Often","Rarely","Very often","Sometimes","Never","Sometimes","Very often","Neutral","Strongly disagree","Agree","Agree","Strongly agree","Agree","Disagree","Agree","Agree","Agree","Neutral","Agree","Disagree","Disagree","Neutral","Stay the same"
"2017/03/22 3:36:22 PM AST","142857","003","Sometimes","Sometimes","Often","Sometimes","Often","Very often","Rarely","Sometimes","Very often","Neutral","Disagree","Agree","Neutral","Agree","Neutral","Strongly disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Neutral","Neutral","Be increased for the monetary part"
"2017/03/22 4:25:02 PM AST","142857","004","Never","Never","Sometimes","Sometimes","Often","Rarely","Rarely","Often","Very often","Disagree","Strongly disagree","Strongly agree","Agree","Strongly agree","Strongly disagree","Strongly disagree","Neutral","Neutral","Agree","Agree","Neutral","Agree","Disagree","Agree","Have demerit points added to the penalty"
"2017/04/07 2:00:12 PM AST","142857","005","Rarely","Never","Sometimes","Sometimes","Often","Rarely","Rarely","Very often","Very often","Agree","Strongly disagree","Agree","Agree","Agree","Neutral","Strongly disagree","Disagree","Agree","Agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Be increased for the monetary part"
"2017/04/11 2:33:54 PM AST","142857","006","Sometimes","Rarely","Often","Often","Very often","Rarely","Often","Very often","Sometimes","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Strongly disagree","Disagree","Disagree","It depends on the situation. If someone is driving 70 mph while texting, that's bad, but if they're texting while at a stop light, then that is ok."
"2017/08/04 2:35:23 PM AST","142857","007","Rarely","Never","Sometimes","Rarely","Sometimes","Never","Never","Sometimes","Never","Disagree","Strongly disagree","Disagree","Disagree","Agree","Disagree","Strongly disagree","Disagree","Disagree","Neutral","Strongly agree","Strongly agree","Disagree","Strongly agree","Neutral","Have demerit points added to the penalty"
"2017/08/04 3:33:28 PM AST","142857","008","Rarely","Never","Often","Rarely","Often","Rarely","Never","Sometimes","Rarely","Disagree","Strongly disagree","Disagree","Disagree","Neutral","Agree","Strongly disagree","Agree","Neutral","Neutral","Agree","Agree","Disagree","Disagree","Neutral","Have demerit points added to the penalty"
"2017/08/04 4:01:49 PM AST","142857","009","Sometimes","Never","Sometimes","Rarely","Often","Rarely","Rarely","Rarely","Sometimes","Disagree","Strongly disagree","Neutral","Neutral","Agree","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Disagree","Have demerit points added to the penalty"
"2017/08/04 4:39:41 PM AST","142857","010","Never","Never","Sometimes","Rarely","Often","Sometimes","Never","Sometimes","Very often","Strongly disagree","Strongly disagree","Neutral","Neutral","Agree","Strongly disagree","Strongly disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Stay the same"
